supplement_log_id,supplement_id,user_id,servings,date
35,1,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,8.00,2026-08-19
36,6,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-19
37,2,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-20
38,8,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-20
39,1,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,8.00,2026-08-20
40,8,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-21
41,2,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-21
42,9,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-21
43,1,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,8.00,2026-08-21
44,5,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-21
45,11,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-21
46,1,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,8.00,2026-08-23
47,7,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-23
48,8,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-23
49,1,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,8.00,2026-08-22
50,5,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-22
51,11,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-22
52,2,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-22
53,9,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-22
54,9,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-23
55,2,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-24
56,1,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,8.00,2026-08-24
57,7,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-28
58,2,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-28
59,8,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-28
60,1,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,8.00,2026-08-28
61,5,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-28
62,12,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-28
63,2,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-30
64,1,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,8.00,2026-08-30
65,9,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-30
66,6,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-30
67,2,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-31
68,7,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-31
69,8,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-31
70,9,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-31
71,1,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,8.00,2026-08-31
72,6,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-31
73,1,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,8.00,2026-09-01
74,1,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,8.00,2026-09-02
78,5,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-09-03
79,12,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-09-03
80,6,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-09-03
81,1,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,8.00,2026-09-03
82,2,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-09-04
83,1,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,8.00,2026-09-05
84,2,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-09-05
85,5,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-09-05
86,12,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-09-05
88,2,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-09-07
89,1,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,8.00,2026-09-07
90,7,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-09-07
91,8,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-09-07
