food_id,user_id,description,protein,fat,carb,calories_extra,my_food,favorite_food,share_with_others,serving_size,serving_unit,is_active,created_at
16,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,Protein Drink (Ascent),25.00,1.00,2.00,0.00,true,false,false,1.00,scoop,true,2026-08-10 00:00:59.255242+00
18,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,hamburger,29.00,20.00,0.00,0.00,true,false,false,4.00,oz,true,2026-08-10 04:34:08.876996+00
19,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,Avacado (1/2 medium),2.00,14.70,8.50,0.00,true,true,false,0.50,serving,true,2026-08-10 04:36:13.587917+00
20,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,Pepper Jack Cheese,7.00,9.00,0.50,0.00,true,false,false,1.00,oz,true,2026-08-10 04:39:29.271025+00
21,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,Parmesan Cheese,10.00,7.50,1.00,0.00,true,false,false,1.00,oz,true,2026-08-10 06:19:44.335181+00
22,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,Dark Chocolate,2.20,12.00,13.00,0.00,true,false,false,1.00,oz,true,2026-08-10 20:32:37.950954+00
23,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,Black Beans,7.00,0.40,19.25,0.00,true,false,false,0.25,can,true,2026-08-10 20:48:39.15192+00
24,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,Cottage Cheese,13.00,3.00,5.00,0.00,true,false,false,4.00,oz,true,2026-08-10 23:04:10.156105+00
25,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,Ribeye,18.00,11.00,0.00,0.00,true,false,false,3.00,oz,true,2026-08-11 02:33:06.17515+00
26,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,Yogurt - Oikos,17.00,0.00,7.00,0.00,true,false,false,1.00,serving,true,2026-08-11 15:15:48.599705+00
27,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,Tuna Albacore (WIld Planet),33.00,5.00,0.00,0.00,true,false,false,1.00,serving,true,2026-08-11 15:18:59.333521+00
28,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,Yams,2.25,2.25,31.40,0.00,true,false,false,4.00,oz,true,2026-08-11 15:22:59.733853+00
29,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,Protein - Mussel Milk,33.00,1.50,11.00,0.00,true,false,false,1.00,can,true,2026-08-11 15:32:31.853275+00
30,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,Prunes,1.00,0.00,24.00,0.00,true,false,false,4.00,piece,true,2026-08-12 00:20:33.60669+00
31,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,Pork Rigns,0.00,10.00,0.00,0.00,true,false,true,1.00,oz,false,2026-08-12 05:06:04.618217+00
32,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,Hot Dog bun,4.00,1.50,23.00,0.00,true,false,false,1.00,serving,true,2026-08-12 18:24:43.03203+00
33,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,Mayo,0.10,10.00,0.80,0.00,true,false,false,14.00,gram,true,2026-08-12 18:27:46.631484+00
34,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,Zuchkini (medium),6.00,1.00,2.00,0.00,true,false,false,1.00,item,true,2026-08-14 00:03:05.416181+00
35,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,Rice (raw),3.75,0.55,43.00,0.00,true,false,false,0.25,cup,true,2026-08-14 00:11:12.552495+00
36,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,Bone broth,9.00,0.50,0.00,0.00,true,false,false,1.00,cup,true,2026-08-14 00:14:15.057537+00
37,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,Prok Rhines,8.00,4.50,0.00,0.00,true,false,false,14.00,gram,true,2026-08-14 00:26:46.472165+00
38,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,Mango,2.00,1.00,50.00,0.00,true,false,false,1.00,serving,true,2026-08-14 01:57:47.860231+00
39,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,Honey,0.00,0.00,17.00,0.00,true,false,false,1.00,tsp,true,2026-08-14 16:31:29.409779+00
40,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,Berries (Three Berry Frozen),2.00,0.00,16.00,0.00,true,false,false,1.00,cup,true,2026-08-14 21:42:22.608618+00
41,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,Spagetti + olive oil,14.00,12.00,82.00,0.00,true,false,false,100.00,gram,true,2026-08-15 05:07:08.36889+00
42,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,Beef Jerky (Old Trapper),11.00,0.50,6.00,0.00,true,false,false,1.00,oz,true,2026-08-15 06:50:35.021171+00
43,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,Coconut Water,0.00,0.00,13.00,0.00,true,false,false,11.10,oz,true,2026-08-15 20:19:00.373484+00
46,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,"Chicken Thigh (Boneless, skinless)",22.00,4.50,0.00,0.00,true,false,false,4.00,oz,true,2026-08-16 21:04:37.443646+00
47,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,Squash,1.00,0.50,10.00,0.00,true,false,false,1.00,cup,true,2026-08-17 03:22:58.473776+00
48,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,Mozzerella Cheese,6.00,6.00,1.00,0.00,true,false,false,1.00,oz,true,2026-08-17 20:30:37.315651+00
49,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,Pizza Pepperoni (Costco),34.00,24.00,75.00,0.00,true,false,false,1.00,slice,true,2026-08-19 03:22:17.207375+00
50,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,Ham,23.90,6.90,1.14,0.00,true,false,false,4.00,oz,true,2026-08-19 19:36:00.952949+00
51,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,Beef Jerky (world Kitchens),9.00,2.00,7.00,0.00,true,false,false,1.00,oz,true,2026-08-20 19:14:38.863256+00
52,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,Meatballs (3),19.00,15.00,9.00,0.00,true,false,false,85.00,gram,true,2026-08-21 04:14:13.930453+00
53,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,White Bread,4.50,1.50,27.00,0.00,true,false,false,1.00,slice,true,2026-08-21 04:16:22.900788+00
54,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,"Fish Oil 2g, Krill 0.5g",0.00,2.50,0.00,0.00,true,false,false,1.00,serving,true,2026-08-21 20:21:01.169307+00
55,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,Cake (Costco Tuxedo),3.00,9.00,28.00,0.00,true,false,false,1.00,slice,true,2026-08-22 20:02:51.416846+00
56,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,Watermelon,11.50,0.20,0.90,0.00,true,false,false,1.00,cup,true,2026-08-23 00:31:24.959344+00
57,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,Peanut Butter Cup (Skinny Dipped),2.00,6.00,6.00,0.00,true,false,false,1.00,piece,true,2026-08-26 00:29:50.334755+00
58,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,RX Bar,12.00,8.00,23.00,0.00,true,false,false,1.00,bar,true,2026-08-26 18:00:49.352737+00
59,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,Oysters (Chicken of the Sea),18.00,2.50,4.00,0.00,true,false,false,1.00,can,true,2026-08-27 15:31:13.983028+00
60,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,Shrimp,27.00,0.32,0.23,0.00,true,false,false,4.00,oz,true,2026-08-28 03:20:05.211425+00
61,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,Chicken Breast,35.00,4.00,0.00,0.00,true,false,false,4.00,oz,true,2026-08-29 23:38:46.974623+00
62,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,Spagetti Noodles,6.50,1.00,35.00,0.00,true,false,false,4.00,oz,true,2026-08-29 23:56:36.514193+00
63,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,Spagetti Sauce (Victoria),1.00,2.00,5.00,0.00,true,false,false,4.00,oz,true,2026-08-29 23:58:59.499417+00
64,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,Mayonnaise,0.00,11.50,0.50,0.00,true,false,false,1.00,tbsp,true,2026-08-31 20:45:23.720355+00
65,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,Chicken Breast,5.00,6.00,5.00,0.00,true,false,false,1.00,item,false,2026-09-03 06:09:18.19642+00
66,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,AAAA,4.00,4.00,4.00,4.00,true,false,false,1.00,oz,false,2026-09-03 06:13:06.891066+00
67,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,sdadsadsadsa,0.00,0.00,0.00,0.00,true,false,false,1.00,oz,false,2026-09-03 06:31:07.972841+00
68,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,22222,0.00,0.00,0.00,0.00,true,false,false,1.00,oz,false,2026-09-03 06:51:52.553678+00
69,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,ddsdssd,0.00,0.00,0.00,0.00,true,false,false,1.00,piece,false,2026-09-03 07:02:58.37203+00
70,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,dffdsfdfsd,0.00,0.00,0.00,0.00,true,false,false,1.00,oz,false,2026-09-03 07:10:59.114474+00
71,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,sdffdsdfsdf,0.00,0.00,0.00,0.00,true,false,false,1.00,oz,false,2026-09-03 07:11:41.823325+00
72,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,dfsfdssfdfds,0.00,0.00,0.00,0.00,true,false,false,1.00,oz,false,2026-09-03 07:12:53.865099+00
73,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,aaaaxccxzcxcxz,0.00,0.00,0.00,0.00,true,false,false,1.00,serving,false,2026-09-03 07:16:31.642655+00
74,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,asdasdssd,4.00,4.00,4.00,4.00,true,false,false,1.00,serving,false,2026-09-03 07:16:49.332843+00
75,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,ddfdfsdfs,0.00,0.00,0.00,0.00,true,false,false,1.00,serving,false,2026-09-03 07:19:43.411293+00
76,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,Chuck Roast,27.00,21.00,0.00,0.00,true,false,false,4.00,oz,true,2026-09-05 03:05:39.323753+00
77,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,Suchi California Roll,9.00,7.50,40.00,0.00,true,false,false,6.00,pinch,true,2026-09-05 03:10:19.955426+00
78,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,Corn Bread,4.00,4.00,24.00,0.00,true,false,false,2.00,oz,true,2026-09-06 00:35:02.132558+00
79,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,Potatoes,2.25,2.00,23.00,0.00,true,false,false,4.00,oz,true,2026-09-07 18:41:15.447003+00
80,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,Red Wine (Cab.),0.00,0.00,4.00,105.00,true,false,false,5.00,oz,true,2026-09-07 18:50:32.556725+00
81,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,Cookie (Pumpkin),1.00,6.00,21.00,0.00,true,false,false,1.00,serving,true,2026-09-07 18:54:46.049422+00
82,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,Ketchup,0.20,0.00,4.20,0.00,true,false,false,1.00,tbsp,true,2026-09-07 22:34:54.714226+00
